Region,City,φ,Ηo,Ηw,ĩ,ς,k̅,Pde,P4w
Middle East/Africa,Beirut,0.206,3.344,3.308,63.9,1.026,3.061,0.072,0.218
Middle East/Africa,Cairo,0.041,3.538,3.526,66.6,1.067,2.996,0.085,0.171
Middle East/Africa,Cape Town,0.025,3.556,3.553,75.2,1.102,2.793,0.183,0.162
Middle East/Africa,Casablanca,0.094,3.477,3.461,48,1.048,3.026,0.08,0.178
Middle East/Africa,Damascus,0.043,3.536,3.525,65.8,1.085,2.801,0.146,0.107
Middle East/Africa,Dubai,0.031,3.55,3.529,79.7,1.087,2.925,0.074,0.073
Middle East/Africa,Istanbul,0.007,3.576,3.574,50.1,1.059,2.998,0.093,0.174
Middle East/Africa,Jerusalem,0.014,3.568,3.562,44,1.092,2.735,0.18,0.109
Middle East/Africa,Johannesburg,0.019,3.562,3.556,88.6,1.098,2.865,0.158,0.182
Middle East/Africa,Lagos,0.039,3.54,3.521,87.2,1.048,2.619,0.223,0.07
Middle East/Africa,Mogadishu,0.375,3.123,3.292,39.4,1.019,3.346,0.055,0.472
Middle East/Africa,Nairobi,0.014,3.568,3.556,91.8,1.083,2.506,0.279,0.075
Middle East/Africa,Tehran,0.137,3.427,3.405,52,1.045,2.652,0.24,0.134
US/Canada,Atlanta,0.315,3.204,3.197,112.5,1.074,2.806,0.164,0.153
US/Canada,Baltimore,0.223,3.324,3.367,100,1.036,3.182,0.085,0.36
US/Canada,Boston,0.026,3.554,3.552,77,1.039,2.945,0.135,0.211
US/Canada,Charlotte,0.002,3.582,3.581,117.2,1.067,2.546,0.288,0.139
US/Canada,Chicago,0.899,2.083,2.103,105.3,1.016,3.343,0.074,0.507
US/Canada,Cleveland,0.486,2.961,2.899,103.7,1.029,2.979,0.091,0.198
US/Canada,Dallas,0.305,3.218,3.182,106.1,1.042,3.12,0.091,0.317
US/Canada,Denver,0.678,2.634,2.571,102.7,1.031,3.249,0.071,0.416
US/Canada,Detroit,0.582,2.807,2.718,101.2,1.012,3.352,0.053,0.482
US/Canada,Honolulu,0.034,3.545,3.55,101.8,1.073,2.681,0.252,0.185
US/Canada,Houston,0.425,3.052,3.006,96.2,1.045,3.027,0.127,0.307
US/Canada,Las Vegas,0.542,2.874,2.775,86.1,1.079,2.676,0.23,0.166
US/Canada,Los Angeles,0.348,3.161,3.145,109.9,1.048,2.911,0.171,0.273
US/Canada,Manhattan,0.669,2.65,2.571,82.2,1.017,3.508,0.027,0.572
US/Canada,Miami,0.811,2.341,2.291,96.7,1.023,3.236,0.069,0.407
US/Canada,Minneapolis,0.749,2.486,2.464,115.4,1.023,3.393,0.053,0.521
US/Canada,Montreal,0.204,3.346,3.332,87.4,1.057,3.239,0.051,0.344
US/Canada,New Orleans,0.123,3.444,3.457,99.6,1.035,3.378,0.077,0.526
US/Canada,Orlando,0.481,2.969,2.929,100.1,1.064,2.914,0.12,0.237
US/Canada,Philadelphia,0.312,3.209,3.267,83.9,1.03,3.315,0.047,0.398
US/Canada,Phoenix,0.586,2.801,2.563,97.1,1.073,2.795,0.186,0.171
US/Canada,Pittsburgh,0.018,3.564,3.565,94,1.054,2.854,0.173,0.231
US/Canada,Portland,0.679,2.632,2.68,82.1,1.041,3.032,0.146,0.327
US/Canada,San Francisco,0.278,3.253,3.226,94.4,1.033,3.304,0.087,0.454
US/Canada,Seattle,0.723,2.542,2.474,97.2,1.028,3.107,0.136,0.369
US/Canada,St Louis,0.276,3.256,3.225,107,1.023,3.165,0.098,0.374
US/Canada,Toronto,0.474,2.98,2.885,103.1,1.09,2.994,0.109,0.217
US/Canada,Vancouver,0.749,2.488,2.413,103.7,1.022,3.308,0.073,0.455
US/Canada,Washington,0.377,3.121,3.113,99.5,1.038,3.252,0.065,0.37
